epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,19889.5,0.98737,0.42352,1.09152,0.8678,0.83217,0.87661,0.48558,1.37849,0.62743,1.14527,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,20293.1,0.98406,0.42374,1.09618,0.87206,0.83199,0.87747,0.48566,1.37787,0.6257,1.14493,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,20647.3,0.97714,0.41897,1.09684,0.87034,0.83211,0.87569,0.48623,1.377,0.62534,1.14541,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,20997.8,0.97835,0.41812,1.08369,0.87092,0.83153,0.87526,0.48535,1.37659,0.62436,1.14469,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,21304.5,0.97114,0.41675,1.07578,0.87515,0.8328,0.87706,0.48567,1.37616,0.62346,1.14529,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,21603.2,0.96601,0.41651,1.08317,0.87268,0.83229,0.87603,0.48502,1.3764,0.62385,1.14485,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,21894.8,0.96303,0.41265,1.08552,0.87196,0.8309,0.87518,0.48549,1.37585,0.62303,1.1439,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,22187,0.95947,0.41129,1.08618,0.87456,0.82886,0.87575,0.48551,1.37608,0.6234,1.14452,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,22478.7,0.95733,0.40852,1.07276,0.8724,0.83019,0.87737,0.48519,1.37651,0.62184,1.14413,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,22782.5,0.95276,0.40697,1.06877,0.86962,0.8309,0.87644,0.48516,1.37722,0.62217,1.14419,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,23083.5,0.94908,0.40693,1.06809,0.86958,0.83217,0.8751,0.48452,1.37713,0.62205,1.1443,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,23454.1,0.94296,0.40137,1.06518,0.86852,0.83217,0.87512,0.48531,1.37677,0.62211,1.14431,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,23785.3,0.93949,0.40201,1.05776,0.86805,0.83153,0.87414,0.48504,1.37756,0.6221,1.14491,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,24076.7,0.93319,0.39954,1.0537,0.86924,0.83253,0.87365,0.48437,1.37825,0.62255,1.14527,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,24414.1,0.93546,0.39768,1.05093,0.86878,0.83337,0.87452,0.48427,1.3791,0.62313,1.14526,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,24772.9,0.93008,0.39541,1.05239,0.86939,0.83362,0.87482,0.4835,1.37918,0.62289,1.14542,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,25083.2,0.92617,0.39544,1.04987,0.86868,0.83408,0.87445,0.4839,1.37874,0.62114,1.14446,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,25379.5,0.91756,0.39022,1.04902,0.86947,0.83471,0.874,0.48262,1.37932,0.61989,1.14434,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,25675.6,0.91843,0.39212,1.04345,0.87736,0.83153,0.87384,0.48315,1.38023,0.61835,1.14456,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,25978.5,0.91103,0.3891,1.04131,0.8762,0.83344,0.87368,0.48307,1.38015,0.61755,1.14468,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
